64,,married,tertiary,no,742,no,no,cellular,17,aug,502,5,190,0,failure,yes
37,retired,married,secondary,no,434,no,no,cellular,26,sep,18,1,183,1,other,yes
52,technician,married,secondary,no,272,no,yes,cellular,17,jul,53,1,-1,0,,no
41,blue-collar,married,primary,no,1,no,no,,1,jul,117,1,-1,0,,no
44,management,married,tertiary,no,1242,yes,no,cellular,6,aug,384,6,-1,0,,no
30,blue-collar,single,secondary,no,-477,yes,yes,,27,may,220,2,-1,0,,no
51,management,divorced,tertiary,no,4540,no,yes,telephone,23,apr,170,1,-1,0,,yes
35,management,single,tertiary,no,0,no,yes,cellular,11,jul,71,3,-1,0,,no
52,services,married,primary,no,648,no,no,telephone,30,aug,70,1,1,0,,yes
45,retired,single,tertiary,no,290,no,no,cellular,7,sep,211,1,108,4,failure,yes
33,blue-collar,married,secondary,no,561,no,yes,cellular,22,may,551,5,1,0,,yes
43,management,married,,no,1711,no,no,cellular,12,mar,517,2,2,0,,yes
35,technician,married,tertiary,no,2518,no,no,,9,jun,400,1,-1,0,,no
33,technician,divorced,secondary,no,4369,yes,no,,21,may,433,3,-1,0,,no
30,management,single,tertiary,no,2876,no,no,cellular,6,aug,103,4,-1,0,,no
31,student,single,secondary,no,0,no,no,cellular,22,sep,173,1,-1,0,,no
27,management,single,secondary,no,457,yes,yes,cellular,1,feb,91,1,167,4,failure,yes
37,blue-collar,single,secondary,no,7622,yes,yes,telephone,6,may,111,1,-1,0,,no
40,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,619,1,171,5,other,no
27,student,single,secondary,no,253,no,no,cellular,25,may,242,2,-1,0,,yes
51,management,married,tertiary,no,387,no,no,,3,may,391,1,-1,0,,yes
52,retired,divorced,primary,no,353,no,no,cellular,31,jul,395,4,-1,0,,no
60,housemaid,divorced,secondary,no,2063,no,no,cellular,17,feb,73,2,-1,0,,no
42,housemaid,married,secondary,no,279,yes,no,cellular,23,jul,673,1,-1,0,,no
50,technician,married,secondary,no,-997,no,yes,cellular,28,aug,70,7,-1,0,,no
68,management,married,secondary,no,1055,yes,yes,cellular,12,jul,276,2,4,0,,yes
84,retired,married,secondary,no,81204,no,no,telephone,28,dec,679,1,313,2,other,yes
50,services,married,secondary,yes,0,no,no,telephone,31,jul,35,9,-1,0,,no
41,services,married,secondary,no,1836,yes,yes,cellular,15,apr,139,1,-1,0,,no
34,admin.,single,secondary,no,391,yes,no,,9,may,192,2,-1,0,,no
41,management,married,primary,no,63,yes,no,cellular,15,may,118,2,266,1,failure,yes
47,retired,married,,no,2143,no,no,telephone,17,jul,214,1,-1,0,other,yes
25,technician,single,tertiary,no,134,no,yes,cellular,20,apr,856,3,-1,0,other,yes
51,management,married,tertiary,no,1680,yes,no,cellular,16,jul,461,1,349,2,failure,yes
42,management,married,secondary,no,-189,yes,no,,12,may,247,2,-1,0,,no
35,technician,married,secondary,no,114,yes,yes,cellular,9,sep,105,3,97,4,failure,no
70,retired,divorced,secondary,no,657,no,no,cellular,18,apr,358,2,-1,0,,yes
58,management,married,tertiary,no,10953,no,yes,cellular,27,aug,44,2,-1,0,,yes
47,technician,married,secondary,no,232,yes,no,cellular,5,may,166,2,285,1,failure,no
75,services,married,tertiary,no,600,no,no,cellular,14,jul,828,4,-1,0,,yes
37,retired,single,tertiary,no,5673,no,no,telephone,13,jun,867,1,-1,0,,yes
76,retired,married,secondary,no,852,no,no,telephone,3,feb,283,2,-1,0,,no
37,housemaid,divorced,secondary,no,226,no,yes,cellular,19,nov,380,2,167,3,other,no
37,admin.,divorced,tertiary,no,255,no,no,cellular,8,aug,287,1,175,0,failure,yes
40,management,married,tertiary,no,0,no,no,cellular,6,aug,131,2,98,6,success,yes
57,management,divorced,secondary,no,628,no,no,cellular,31,feb,334,3,69,1,failure,yes
34,blue-collar,married,primary,no,3839,no,no,,30,apr,1342,1,-1,0,,yes
37,admin.,single,secondary,no,528,yes,no,cellular,21,nov,65,1,-1,0,,no
