21,0,1,1,1,1,8754,1,1,120.5,112.1,5,2,8,0,0,0,1,1,0,2,7,2,0.0,0,6,10,8,12.4488994,0,12.8,-0.8,0.45,Enrolled
17,0,1,1,1,1,9284,1,2,145.5,120.0,1,41,3,2,1,0,1,0,0,6,12,0,14.17027289,1,10,15,0,13.10602471,0,11.4,2.8,-0.87,Enrolled
29,0,29,1,8,1,9991,1,18,114.5,157.5,20,39,0,5,0,1,1,0,0,5,15,1,10.74024801,0,6,7,0,0.03426428,0,12.7,1.3,3.51,Dropout
18,0,1,1,1,2,9500,1,1,140.0,129.9,1,19,7,7,0,0,1,1,0,7,8,7,12.92875,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout
28,1,1,1,39,1,9254,1,1,150.0,122.3,3,1,3,4,0,0,1,0,0,6,10,6,13.0,0,6,8,5,12.2,0,13.9,-0.3,0.79,Graduate
20,1,41,1,15,1,33,1,1,133.1,100.0,2,3,2,4,0,0,1,0,0,7,10,7,12.85714286,0,7,7,4,12.75,0,8.9,1.4,3.51,Enrolled
18,0,1,1,17,2,9853,1,1,125.0,119.4,1,19,5,5,0,0,1,1,0,7,10,7,12.14285714,0,7,7,7,13.14285714,0,12.4,0.5,1.79,Graduate
18,0,1,1,1,1,9253,1,1,107.5,107.0,39,38,0,1,1,1,1,0,0,6,15,0,14.57409488,0,6,11,6,13.03975286,6,10.4,1.7,0.63,Enrolled
17,0,1,1,16,2,9383,1,1,131.5,97.1,3,1,9,6,0,0,1,0,0,6,4,8,10.84400008,0,6,7,1,12.93783023,0,7.7,0.2,0.41,Enrolled
17,0,1,1,18,6,33,1,1,112.6,95.0,39,17,9,11,0,0,1,1,0,5,20,4,1.82824684,1,6,6,7,11.73457075,0,8.4,0.8,2.22,Enrolled
25,0,1,1,39,1,9991,0,3,120.0,134.0,19,1,9,5,0,0,1,0,0,5,14,1,11.0,0,5,11,2,12.66666667,4,16.2,0.3,-0.92,Dropout
20,0,1,1,17,1,9670,1,1,145.0,129.3,3,3,2,1,0,0,1,1,0,6,7,6,15.57142857,0,6,6,6,17.16666667,0,16.2,0.3,-0.92,Graduate
