11,3,750,16,1
2,3,750,52,0
14,2,500,29,0
4,1,250,4,0
2,12,3000,70,1
2,2,500,23,0
14,2,500,14,0
16,1,250,16,0
2,7,1750,58,1
5,11,2750,75,0
11,1,250,11,0
21,2,500,41,0
2,2,500,11,0
6,3,750,14,0
4,7,1750,32,1
14,1,250,14,0
11,4,1000,74,0
11,1,250,11,0
21,1,250,21,0
14,2,500,16,0
4,5,1250,34,0
2,5,1250,33,1
4,5,1250,58,0
4,3,750,16,0
16,6,1500,81,0
4,6,1500,47,0
11,8,2000,48,0
11,5,1250,35,0
18,2,500,23,0
2,6,1500,41,1
4,12,3000,88,0
6,2,500,11,1
23,14,3500,93,0
11,12,3000,58,0
16,1,250,16,0
14,3,750,79,0
2,2,500,10,1
23,8,2000,46,0
2,1,250,2,0
2,1,250,2,0
4,1,250,4,0
14,3,750,28,0
2,6,1500,45,0
11,2,500,25,0
14,8,2000,26,0
14,1,250,14,0
21,1,250,21,0
2,13,3250,32,1
11,8,2000,46,0
4,1,250,4,0
11,3,750,76,0
38,1,250,38,0
4,5,1250,23,0
4,1,250,4,0
9,1,250,9,0
9,4,1000,65,0
10,8,2000,39,0
11,11,2750,38,0
14,4,1000,26,0
16,1,250,16,0
11,1,250,11,0
9,2,500,26,0
4,3,750,28,0
14,5,1250,26,0
14,5,1250,50,0
14,1,250,14,0
4,1,250,4,1
21,6,1500,48,0
4,1,250,4,0
23,3,750,41,0
11,1,250,11,0
2,41,10250,98,1
23,1,250,23,0
14,1,250,14,0
16,14,3500,83,0
