89.0,74.0,48.0,5.0,58.0,92.0,78.0, im
62.0,86.0,48.0,5.0,34.0,51.0,25.0, pp
78.0,77.0,48.0,5.0,65.0,27.0,8.0, om
51.0,5.0,48.0,5.0,46.0,32.0,35.0, cp
24.0,41.0,48.0,5.0,49.0,23.0,34.0, cp
52.0,39.0,48.0,5.0,65.0,71.0,73.0, im
45.0,45.0,48.0,5.0,48.0,69.0,78.0, imU
63.0,53.0,48.0,5.0,54.0,59.0,35.0, imS
73.0,1.0,48.0,5.0,38.0,31.0,42.0, pp
73.0,57.0,1.0,5.0,58.0,59.0,18.0, omL
7.0,39.0,1.0,5.0,51.0,82.0,29.0, imL
42.0,40.0,48.0,5.0,53.0,92.0,7.0, imU
17.0,52.0,48.0,5.0,49.0,37.0,46.0, cp
85.0,51.0,48.0,5.0,53.0,52.0,35.0, imS
75.0,39.0,1.0,1.0,51.0,64.0,84.0, imL
70.0,88.0,48.0,5.0,79.0,29.0,27.0, om
79.0,54.0,48.0,5.0,5.0,66.0,68.0, imU
62.0,83.0,48.0,5.0,46.0,36.0,4.0, pp
66.0,55.0,1.0,5.0,47.0,58.0,26.0, omL
39.0,32.0,48.0,5.0,46.0,24.0,35.0, cp
48.0,86.0,48.0,5.0,6.0,25.0,24.0, pp
55.0,57.0,48.0,5.0,56.0,92.0,59.0, imU
71.0,49.0,1.0,5.0,47.0,56.0,1.0, omL
76.0,56.0,1.0,5.0,37.0,56.0,1.0, omL
26.0,26.0,48.0,5.0,34.0,25.0,35.0, cp
60.0,43.0,1.0,5.0,43.0,85.0,65.0, imU
77.0,48.0,1.0,5.0,46.0,55.0,1.0, omL
47.0,28.0,48.0,5.0,56.0,2.0,25.0, cp
70.0,49.0,1.0,5.0,48.0,59.0,5.0, omL
74.0,9.0,48.0,5.0,57.0,53.0,29.0, om
64.0,1.0,48.0,5.0,19.0,38.0,24.0, pp
41.0,43.0,48.0,5.0,5.0,24.0,25.0, cp
76.0,71.0,48.0,5.0,5.0,71.0,75.0, imU
66.0,57.0,1.0,5.0,54.0,58.0,17.0, omL
74.0,56.0,48.0,5.0,47.0,68.0,3.0, pp
70.0,48.0,1.0,5.0,37.0,58.0,12.0, omL
72.0,52.0,48.0,5.0,54.0,67.0,35.0, imS
81.0,53.0,48.0,5.0,53.0,68.0,58.0, imS
88.0,58.0,48.0,5.0,45.0,90.0,57.0, imU
42.0,38.0,48.0,5.0,54.0,34.0,43.0, cp
76.0,52.0,48.0,5.0,53.0,52.0,35.0, imS
57.0,35.0,48.0,5.0,3.0,16.0,39.0, pp
56.0,66.0,48.0,5.0,47.0,86.0,74.0, im
83.0,53.0,48.0,5.0,54.0,72.0,35.0, imS
64.0,41.0,1.0,5.0,49.0,82.0,48.0, imL
64.0,55.0,1.0,5.0,32.0,59.0,57.0, imL
76.0,71.0,48.0,5.0,3.0,37.0,16.0, pp
42.0,24.0,48.0,5.0,57.0,27.0,37.0, cp
48.0,44.0,1.0,5.0,66.0,59.0,8.0, imU
63.0,65.0,48.0,5.0,66.0,67.0,71.0, im
49.0,71.0,48.0,5.0,87.0,59.0,39.0, om
69.0,64.0,48.0,5.0,44.0,71.0,93.0, im
75.0,50.0,48.0,5.0,3.0,50.0,51.0, pp
78.0,88.0,48.0,5.0,88.0,51.0,26.0, om
75.0,88.0,48.0,5.0,88.0,49.0,52.0, om
7.0,48.0,1.0,5.0,45.0,47.0,3.0, imL
75.0,55.0,1.0,1.0,21.0,47.0,84.0, imL
3.0,45.0,48.0,5.0,36.0,21.0,32.0, cp
41.0,53.0,48.0,5.0,53.0,85.0,53.0, imU
69.0,59.0,48.0,5.0,46.0,44.0,52.0, pp
79.0,36.0,48.0,5.0,47.0,79.0,62.0, imU
65.0,88.0,48.0,5.0,59.0,49.0,52.0, om
