S, O,1,2,1,1,2,1,2,0,0, C
H, C,1,2,1,1,2,1,1,0,1, F
A, O,1,2,1,2,2,1,0,1,0, E
A, I,1,2,1,2,2,1,5,0,0, E
S, I,1,3,1,2,2,1,5,1,0, E
A, O,1,3,1,2,2,1,1,0,0, D
X, O,2,1,1,1,2,1,0,0,0, B
K, I,2,2,1,1,2,1,0,0,0, E
A, I,1,1,1,2,2,1,1,1,0, D
H, X,1,2,1,1,2,1,1,0,0, H
A, I,2,2,1,1,2,1,1,0,0, F
A, I,2,3,3,1,2,1,1,0,0, D
H, X,1,2,1,1,2,1,0,0,0, H
S, I,2,3,1,2,2,1,0,0,0, E
A, O,1,1,1,2,2,1,3,0,0, E
A, I,1,1,1,2,2,1,1,1,0, D
R, C,2,3,1,1,2,1,1,0,0, D
S, O,1,1,1,1,2,1,0,0,0, D
H, O,1,3,1,2,2,1,0,0,0, D
A, O,1,2,1,2,2,1,0,0,0, D
X, O,1,3,1,2,2,1,0,0,0, B
R, O,1,2,1,2,2,1,1,0,0, C
S, O,1,3,3,2,2,1,0,0,0, C
A, I,1,3,1,2,2,1,0,0,0, C
K, O,1,2,1,1,2,2,5,0,1, E
X, O,2,1,1,1,2,1,1,0,0, B
S, X,1,3,1,1,2,1,0,0,0, H
S, X,1,3,1,2,2,1,0,0,0, H
A, I,1,3,3,2,2,1,0,4,0, E
H, I,1,3,1,2,2,1,0,0,0, F
S, I,1,3,1,1,2,1,1,0,0, C
S, X,2,2,1,1,2,1,0,0,0, H
S, X,1,1,1,2,2,1,0,0,0, H
A, I,2,3,1,2,2,1,3,0,0, D
S, I,2,2,1,2,2,1,0,0,0, C
S, X,1,1,1,2,2,1,0,0,0, H
A, C,2,3,1,1,2,1,0,0,0, E
A, C,1,2,1,2,2,1,2,0,0, E
R, I,1,3,1,1,2,1,0,0,0, C
X, O,2,2,1,2,2,1,0,0,0, B
R, I,1,3,1,2,2,1,0,0,0, C
A, O,1,3,1,1,2,1,0,0,0, E
S, X,1,2,1,1,2,1,2,0,0, H
S, O,1,2,1,2,2,1,1,0,0, C
A, I,1,3,1,2,2,1,1,0,0, E
A, O,1,3,1,2,2,1,0,0,0, C
A, X,2,3,1,1,2,1,0,0,0, H
A, I,1,3,1,1,2,1,0,2,0, D
A, C,1,3,1,2,2,1,0,0,0, E
X, O,1,2,1,1,2,1,0,0,0, B
K, O,2,3,1,2,2,1,2,0,1, E
S, O,1,3,1,1,2,1,0,0,0, B
A, X,1,3,1,2,1,1,0,0,0, H
X, O,1,1,1,2,2,1,0,0,0, B
A, I,1,2,1,2,2,1,2,0,0, F
R, O,1,3,1,1,2,1,1,1,0, D
S, X,1,2,1,1,2,1,1,0,0, H
K, C,1,3,1,2,2,1,0,1,0, E
S, O,2,3,2,1,2,1,1,0,0, D
R, I,1,3,1,1,2,1,1,0,0, C
S, O,1,2,1,1,2,1,0,0,0, C
S, X,1,3,1,2,2,1,0,0,0, H
S, I,2,2,1,2,2,1,0,0,0, F
X, O,2,2,1,2,2,1,2,0,0, B
S, O,1,2,1,1,2,1,1,0,0, C
A, I,2,2,1,1,2,1,8,0,0, E
A, X,1,3,1,1,2,1,1,0,0, H
R, I,2,2,1,1,2,1,0,0,0, D
A, I,2,3,1,1,2,1,0,0,0, D
S, I,2,3,3,2,2,1,1,0,0, F
A, I,1,3,3,2,2,1,0,4,0, E
X, O,2,1,1,2,2,1,0,0,0, B
X, O,1,2,1,2,2,1,0,0,0, B
A, I,2,3,1,1,2,1,0,0,0, D
A, O,2,2,1,2,2,1,1,0,0, E
A, I,1,3,1,2,2,1,0,0,0, D
X, O,2,2,1,2,2,1,2,0,0, B
S, I,1,3,1,1,2,1,0,0,0, E
S, I,1,3,1,1,2,1,0,0,0, E
S, X,1,2,1,1,2,1,0,0,0, H
X, I,2,2,1,2,2,1,1,0,0, B
S, X,1,3,1,1,2,1,0,0,0, H
A, I,2,2,1,2,2,1,1,0,1, F
S, O,1,2,1,1,2,1,3,0,0, D
A, C,1,2,1,2,2,1,8,0,0, E
R, I,1,3,1,1,2,1,1,0,0, C
R, I,1,3,1,2,2,1,0,0,0, C
S, I,1,2,3,2,2,2,1,0,0, F
H, O,2,2,1,2,2,1,1,0,0, E
R, O,1,2,1,2,2,1,1,0,0, C
S, O,1,1,1,2,2,1,0,0,0, F
K, C,2,2,1,2,2,1,0,0,0, E
K, I,2,3,1,2,2,1,3,1,0, D
A, C,1,3,1,2,2,1,0,0,0, E
A, I,2,3,3,2,2,1,2,0,0, D
R, X,1,2,1,1,2,1,0,0,0, H
R, I,1,3,1,1,2,1,0,0,0, D
A, I,2,3,1,2,2,2,1,1,0, F
K, I,1,2,3,2,2,1,0,0,0, E
R, O,1,3,1,1,2,1,0,1,0, D
R, I,1,3,1,2,2,1,0,0,0, C
S, O,1,2,1,2,2,1,1,0,0, B
S, I,2,3,3,2,2,1,1,0,0, F
K, I,2,2,1,2,2,1,1,0,0, F
A, I,1,2,1,2,2,1,4,0,0, F
S, I,1,2,1,2,2,1,0,0,0, B
S, I,1,2,1,2,2,2,0,0,0, F
K, O,2,2,1,2,2,1,0,0,0, F
A, I,2,3,1,2,2,1,0,0,0, D
R, O,1,1,1,2,2,1,0,0,0, D
S, I,1,2,1,2,2,1,1,0,0, F
