27,Private,121353,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Local-gov,211073,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,61,United-States,>50K
44,Private,219338,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,>50K
27,Private,189530,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
47,Self-emp-not-inc,136258,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
37,Private,248919,1st-4th,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,66,Mexico,<=50K
43,Private,186144,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
34,Private,164309,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,8,United-States,<=50K
39,Federal-gov,276088,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,9426,1996,50,United-States,>50K
41,Private,320744,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28,Private,102533,Some-college,10,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
38,Private,216129,Bachelors,13,Divorced,Other-service,Not-in-family,Black,Female,0,0,60,United-States,<=50K
21,Private,509629,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
24,Private,227594,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
29,Private,155351,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,32,United-States,>50K
52,Private,22784,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,4,50,United-States,>50K
43,Private,172016,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,66,2,50,United-States,>50K
36,Private,607848,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,United-States,>50K
32,Private,166273,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,35,1,45,United-States,>50K
46,Private,168441,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
38,Private,195025,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,32,United-States,<=50K
39,Private,277886,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,United-States,<=50K
19,Private,41163,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
54,,237621,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,China,>50K
34,Federal-gov,193281,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
40,Private,173607,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,92535,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,59,4,50,United-States,>50K
33,Self-emp-not-inc,525258,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,>50K
28,Local-gov,72347,Bachelors,13,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,8754,0,16,United-States,>50K
45,Federal-gov,255062,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7282,1828,40,United-States,>50K
34,Private,193246,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,50,United-States,>50K
35,Private,258339,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
32,Private,318383,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,5,0,50,United-States,>50K
